avg_num_tags,views,video_id
25.142857142857142,25014989,ssq6X6alZ3w
42,24984659,g5idjxf4jHI
12,24967573,DQQRjFzB8gY
8,24952640,TCMnrssX1NE
27,24875325,7KWxQLHxEHU
3,24853084,uAPUkgeiFVY
16,24759426,vFWv44Z4Jhk
14,24682699,LXmKCUCQFvo
10,24578397,tQwVKr8rCYw
7,24377534,NvhiVkrypWI
41,24287626,vloNXsJtCoM
19,24286581,AelCvAXnr0M
23,24277174,Ut1OzEVUiM4
15,24112848,DbXMjAYSa68
20,23997235,08MCd75frA8
16,23968869,7pynaH-PPCA
2,23943816,_Z3QKkl1WyM
39,23927273,qOt4NPfvLPQ
31,23903164,hgF1HI_kW6s
54,23901462,8WXiFzebIxs
25,23900486,_xJUCsyMQes
29,23890673,A-mO7rbYtgk
16,23847944,0KnYP3lOyRQ
15,23809149,kBUSELHHKNo
45,23700450,3VTkBuxU4yk
20,23672970,6t7vA3ebl8w
28,23600527,hr-325mclek
5,23579650,fn3KWM1kuAw
4,23510391,u18be_kRmC0
39,23361322,NeUODC6F7zk
56,23329619,a6QT0acJFQE
8,23236127,h5WN3pkxPF0
36,23214358,5dD-Mkfuxlk
16,23212480,b7QlX3yR2xs
18,23187018,NM5wloPo6kI
17,23082167,F_sOWEje2mE
22,23035962,GG7fLOmlhYg
28,23013144,jJdlgKzVsnI
19,22971586,p6OoY6xneI0
3,22949470,B-gHb2gPGIs
21,22921981,yz95mLpz5Bs
8,22905113,ZlNFpri-Y40
18,22845921,cQA7VKSvXFM
26,22818911,ySo1_loUkcQ
2,22733724,u3V5KDHRQvk
10,22669705,u8VIySyShA8
17,22659535,um3h13KJRxg
10,22657221,z0h3h1UVPSs
16,22633604,1Q0SVnv_jwk
17,22630086,CN4fffh7gmk
20,22579989,QSaW4KB5IQk
4,22542496,cii6ruuycQA
18,22538199,aqW4xXUgmno
35,22533744,s8hA0QRIwfo
15,22496422,5g2hT4GmAGU
16,22469406,DuDX6wNfjqc
4,22436267,1V_03efSkg0
37,22390004,4orZekvjmo8
7,22369840,z8Eu-HU0sWQ
21,22290981,O__Lo2FQJKo
22,22263961,HxllNfjYw2U
49,22235832,sQTGAggO0Gw
12,22185846,NQ-CD4Qwerc
20,22155821,a8ds6SnOGow
19,22062028,hS2x1zl4rn0
26,22045834,fFGS4zZWGoA
43,21954683,Wsije1KetVw
1,21943527,x9NMPnI91Hg
22,21915511,cT7wOSOZVoc
33,21908818,0EVVKs6DQLo
39,21812400,me19SUmWu2s
16.375,21801233,w2IhccXakkE
33,21776199,yxW5yuzVi8w
17,21751873,WWWDskI46Js
23,21736703,vb8wloc4Xpw
15,21680105,fmgHsn4IZi4
44,21673869,2sAzb3kraoQ
58,21668639,nAvjYapdSxk
20,21657804,0-q1KafFCLU
22,21567017,Qpf26PtBXgo
16,21563946,6nxrllqnP2Q
33,21483059,TYd_pT9hZrM
42,21433205,z1gxHexN5DI
14,21415550,bBeZSuHI4Qc
26,21269380,CEw-7cMnBDY
22,21203991,hDkuUZ3F1GU
21,21185257,-nOdSj0u29U
20,21183645,DDY6KjQCMoQ
12,21169763,xQOO2xGQ1Pc
4,21120556,OXHCt8Ym9gw
36,21109926,-8VfKZCOo_I
6,21037139,MqHm48qskRE
24,21003791,WcIcVapfqXw
2,20868948,9SmQOZWNyWE
24,20764299,uKPUiVuunAg
33,20718538,zRXcOZFgMfY
4,20696557,Os_6c5j6YiQ
2,20612376,fEE4RO-_jug
30,20599722,65JrtwtTOdc
12,20580696,_y8YWOIRmXU
6,20569711,vePc5V4h_kg
16,20492628,BInk1AoBHrY
15,20477438,PGJ43zaam_0
18,20453582,R9At2ICm4LQ
34,20444826,zwv5Xm93egM
2,20440297,Fc-fa6cAe2c
29,20392159,gU2HqP4NxUs
16,20330491,BInk1AoBHrY
25,20324587,lkL1HW2h2kQ
21,20197238,J5ee5OHIpIY
13,20148184,2f9TU-F214c
33,20100175,F40o4W3HwWg
28,20072420,05HuTGeF5AA
9,20065607,LOJGVPh8-30
27,20046491,BC19kwABFwc
13,20037086,Db1Xdi6ELgU
42,20034573,lDV5cM9YE4g
28,20028119,G8GaQdW2wHc
2,19950757,x_me3xsvDgk
4,19920857,QmpTkkaKYSU
30,19918073,8FTOld6HP6k
29,19895965,XseIJg8Vyj0
10,19870757,mPrN7yqr2DU
16,19866295,kIbjHtE4fd8
12,19865643,Cv0N8g68t2w
46,19789832,2HcVZm_4qAI
35,19787871,Q_yuO8UNGmY
25,19705025,dTOHwJih8PQ
7,19689920,9W7hNcytwVw
10,19678431,tFM1p4eA9AQ
35,19676978,s8hA0QRIwfo
35,19661974,X0tOpBuYasI
13,19597574,VlFxGiRGO_8
32,19596022,FT3ODSg1GFE
20,19588141,5UdoUmvu_n8
32,19584648,9vMLTcftlyI
10,19556882,RjrA-slMoZ4
23,19449379,eqBrHvdGbOY
38,19448412,G1mPnQM5hQ0
60,19445230,-ToHbHcolfA
14,19436065,0zPdfB6coiA
16,19435036,2L6gsn7rGqI
2,19432987,u7JsKhI2An0
24,19422850,on2yz8SN3fg
13,19400506,0WVDKZJkGlY
27,19372630,CZJvBfoHDk0
5,19367509,7hhQpu93Cf0
58,19338261,XMs2CIiqRDI
6,19296421,58hoktsqk_Q
